"auto_id","hisco_45_id","hisco_3_id","hisco_2_id","hisco_1_id","label","description","country_code","preferred"
"35507","40","0","6","3","Bus Conductor","Issues tickets and supervises safety and comfort of passengers on buses and trams.","","0"
"35508","90","0","6","3","Other Transport Conductors","This group includes transport conductors not elsewhere classified, for example those in charge of passengers in cable cars, ferries and hovercraft.","","0"
"35509","0","0","7","3","Mail Distribution Clerk, Specialisation Unknown","May perform any (but not all) occupational activities described in unit group 3-70.","","0"
"35510","10","0","7","3","Mail Distribution Clerk, General","Sorts, records, dispatches and delivers mail, messages and packages to private homes and/or businesses for public or private postal services.","","0"
"35511","20","0","7","3","Mail Sorting Clerk","Sorts and dispatches mail according to destination and performs associated duties according to employment in postal or other establishment.","","0"
"35512","30","0","7","3","Postman","Delivers mail along a regular route to private homes and business establishments after sorting it according to streets and street numbers.","","0"
"35513","40","0","7","3","Messenger","Delivers messages, packages and other items to offices or other commercial premises within an establishment or elsewhere.","","0"
"35514","90","0","7","3","Other Mail Distribution Clerks","This group includes mail distribution clerks not elsewhere classified, for example those dispatching outgoing mail after calculating required postage and affixing stamps or franking mail in a machine.","","0"
"35515","0","0","8","3","Telephone or Telegraph Operator, Specialisation Unknown","May perform any (but not all) occupational activities described in unit group 3-80.","","0"
"35516","20","0","8","3","Telephone Switchboard Operator","Operates a telephone switchboard or a section thereof, dealing with local or long-distance calls.","","0"
"35517","30","0","8","3","Radio-Telephone Operator (Land-Based)","Operates land-based radio telephone equipment to transmit messages to or receive them from ships, aircraft, vehicles, field or other installations.","","0"
"35518","40","0","8","3","Telegrapher","Operates telegraphic equipment to transmit and receive messages by wire or radio.","","0"
"35519","50","0","8","3","Ship's Radio Officer","Operates radio telegraph and radio telephone equipment on board a ship.","","0"
"35520","60","0","8","3","Flight Radio Operator","Operates radio equipment aboard aircraft in flight.","","0"
"35521","90","0","8","3","Other Telephone and Telegraph Operators","This group includes telephone and telegraph operators not elsewhere classified, for example those engaged mainly in receiving and transmitting information and messages by telephone.","","0"
"35522","10","1","9","3","Stock Clerk, General","Receives, weighs, stores, checks, dispatches and maintains records of goods and materials.","","0"
"35523","20","1","9","3","Dispatching and Receiving Clerk","Arranges the transmission of goods, invoices and other related materials and keeps appropriate records.","","0"
"35524","30","1","9","3","Stock Records Clerk","Maintains stock records of an enterprise, verifies issues, estimates needs and requisitions new stocks.","","0"
"35525","40","1","9","3","Storeroom Clerk","Receives, stores and issues tools, merchandise, equipment or other goods and maintains relevant records.","","0"
"35526","50","1","9","3","Weighing Clerk","Weighs goods received, issued, produced or dispatched and maintains relevant clerical records.","","0"
"35527","90","1","9","3","Other Stock Clerks","This group includes stock clerks not elsewhere classified, for example those who compile inventories of furniture and household effects received for storage in depositories.","","0"
