napptitle,nappcode,nappcodenum,hiscocode,hiscocodenum,nappeqhisco,check,comments
"Textile workers, specialisation unknown",75000,75000,7-50.00,75000,1,0,
Fibre preparers,75100,75100,7-51.00,75100,1,0,
"Spinners, doublers, twisters and winders",75200,75200,7-52.00,75200,1,0,
Weavers,75400,75400,7-54.00,75400,1,0,
Knitters,75500,75500,7-55.00,75500,1,0,
"Bleachers, dyer or textile product finisher",75600,75600,7-56.00,75600,1,0,
Other specialised textile workers nec,75990,75990,7-59.90,75990,1,0,
Other specified leather curers,76190,76190,7-61.90,76190,1,0,
Sugar refiners,77200,77200,7-72.00,77200,1,0,
Butchers,77310,77310,7-73.10,77310,1,0,
Other workers in meat preparation,77390,77390,7-73.90,77390,1,0,
Chocolate makers,77650,77650,7-76.50,77650,1,0,
Other baked goods makers,77690,77690,7-76.90,77690,1,0,
Maltsters,77830,77830,7-78.30,77830,1,0,
Other drinks makers and workers,77890,77890,7-78.90,77890,1,0,
Other food and beverage processors,77990,77990,7-79.90,77990,1,0,
Tobacco preparers and tobacco factory workers,78100,78100,7-81.00,78100,1,0,
Cigar makers,78200,78200,7-82.00,78200,1,0,
Other garment makers,79190,79190,7-91.90,79190,1,0,
Milliners,79320,79320,7-93.20,79320,1,0,
Others hand sewers,79590,79590,7-95.90,79590,1,0,
Upholsterers (except vehicle),79620,79620,7-96.20,79620,1,0,
Vehicle trimmers and upholsterers,79630,79630,7-96.30,79630,1,0,
Mattress makers,79640,79640,7-96.40,79640,1,0,
Others working in upholstery jobs,79690,79690,7-96.90,79690,1,0,
"Sail, tent and awning makers",79920,79920,7-99.20,79920,1,0,
Umbrella makers,79930,79930,7-99.30,79930,1,0,
Other cloth and related product manufacturing workers,79990,79990,7-99.90,79990,1,0,
Specialised occupations in the boot and shoe making industry,80200,80200,8-02.00,80200,1,0,
Saddlers and harness makers,80320,80320,8-03.20,80320,1,0,
Other leather goods makers,80390,80390,8-03.90,80390,1,0,
Cabinet makers,81120,81120,8-11.20,81120,1,0,
Other furniture makers,81190,81190,8-11.90,81190,1,0,
Wood turners and handle makers,81230,81230,8-12.30,81230,1,0,
Other woodworking machine operators,81290,81290,8-12.90,81290,1,0,
Other makers of wooden products,81990,81990,8-19.90,81990,1,0,
"Other blacksmiths, hammermen and forgeing-press operators",83190,83190,8-31.90,83190,1,0,
Tool makers nfs,83210,83210,8-32.10,83210,1,0,
Tool and die makers,83220,83220,8-32.20,83220,1,0,
Other tool makers and metal markers,83290,83290,8-32.90,83290,1,0,
Metalworking machine operators,83310,83310,8-33.10,83310,1,0,
Metal Turners,83320,83320,8-33.20,83320,1,0,
Metal polishers and finishers,83520,83520,8-35.20,83520,1,0,
"Other metal grinders, polishers and tool sharpeners nec",83590,83590,8-35.90,83590,1,0,
Sewing machine makers and builders,84150,84150,8-41.50,84150,1,0,
Other machinery fitters and machine assemblers,84190,84190,8-41.90,84190,1,0,
Watch and clock makers,84220,84220,8-42.20,84220,1,0,
Other specialized instrument makers (not musical instrument makers),84290,84290,8-42.90,84290,1,0,
Telephone and telegraph installers,85600,85600,8-56.00,85600,1,0,
Electrical products inspector or tester,85920,85920,8-59.20,85920,1,0,
Other electrical fitters and related electrical workers,85990,85990,8-59.90,85990,1,0,
"Other welders, braziers, solderers",87290,87290,8-72.90,87290,1,0,
Coppersmith or copperware maker,87330,87330,8-73.30,87330,1,0,
"Tinsmith, tinner or tinker",87340,87340,8-73.40,87340,1,0,
Boilermaker,87350,87350,8-73.50,87350,1,0,
Other sheet metal workers,87390,87390,8-73.90,87390,1,0,
Other structural metal preparers and erectors,87490,87490,8-74.90,87490,1,0,
Other jewellery and precious metal workers,88090,88090,8-80.90,88090,1,0,
Other specific glass makers,89190,89190,8-91.90,89190,1,0,
Pottery and porcelain makers and workers,89200,89200,8-92.00,89200,1,0,
"Glass engravers, etchers and finishers",89400,89400,8-94.00,89400,1,0,
Pottery and porcelain painters,89500,89500,8-95.00,89500,1,0,
Rubber product makers,90100,90100,9-01.00,90100,1,0,
Tire makers and vulcanisers,90200,90200,9-02.00,90200,1,0,
Other paper product makers,91090,91090,9-10.90,91090,1,0,
Printers nec,92000,92000,9-20.00,92000,1,0,
Printers nfs,92110,92110,9-21.10,92110,1,0,
Compositors,92120,92120,9-21.20,92120,1,0,
Other compositors and typesetters,92190,92190,9-21.90,92190,1,0,
Stereotypers and electrotypers,92300,92300,9-23.00,92300,1,0,
"Painters, construction",93120,93120,9-31.20,93120,1,0,
"Painters, ship",93130,93130,9-31.30,93130,1,0,
Other musical instrument makers and tuner,94190,94190,9-41.90,94190,1,0,
Basket makers,94220,94220,9-42.20,94220,1,0,
Brush makers,94230,94230,9-42.30,94230,1,0,
Broom makers,94240,94240,9-42.40,94240,1,0,
Bristle and straw workers nec,94290,94290,9-42.90,94290,1,0,
"Animal stuffers, taxidermists and shell workers",94920,94920,9-49.20,94920,1,0,
Linoleum makers and floor cloth makers,94930,94930,9-49.30,94930,1,0,
Production and related workers nec,94990,94990,9-49.90,94990,1,0,
Others in construction,95190,95190,9-51.90,95190,1,0,
Other roofers,95390,95390,9-53.90,95390,1,0,
Other wooden construction workers,95490,95490,9-54.90,95490,1,0,
Carpet planners,95930,95930,9-59.30,95930,1,0,
Others in building construction,95990,95990,9-59.90,95990,1,0,
Electricity generators,96100,96100,9-61.00,96100,1,0,
Ship boat loaders and dock workers,97120,97120,9-71.20,97120,1,0,
Railway freight handlers,97130,97130,9-71.30,97130,1,0,
Other freight handlers,97190,97190,9-71.90,97190,1,0,
Material handling equipment operators nec,97900,97900,9-79.00,97900,1,0,
"Other crew of boats, ships, etc.",98190,98190,9-81.90,98190,1,0,
Railway/railroad firemen and stokers,98330,98330,9-83.30,98330,1,0,
Railway brakemen,98420,98420,9-84.20,98420,1,0,
Railway signallers,98430,98430,9-84.30,98430,1,0,
Railway switchmen and shunters,98440,98440,9-84.40,98440,1,0,
"Drivers (personal, for hire)",98530,98530,9-85.30,98530,1,0,
Drivers (public),98540,98540,9-85.40,98540,1,0,
Others drivers,98590,98590,9-85.90,98590,1,0,
Barristers,12120,12120,1-21.10,12110,0,1,
Justice of the Peace,12220,12220,3-10.90,31090,0,1,
"Executive officers, nfs (U.S. only)",21112,21112,2-12.00,21200,0,1,eo = manager or supervisor?
Executive officers of manufacturing concerns nfs,21122,21122,2-12.20,21220,0,1,eo = manager or supervisor?
Executive officers of specified manufacturing concerns,21132,21132,2-12.20,21220,0,1,eo = manager or supervisor?
Executive officers of extractive industry,21142,21142,2-11.10,21110,0,1,eo = manager or supervisor?
Executive officers of railway concerns,21152,21152,2-11.10,21110,0,1,eo = manager or supervisor?
Executive officer of other transport and communications,21162,21162,2-11.10,21110,0,1,eo = manager or supervisor?
Executive officer of public utilities,21172,21172,2-11.10,21110,0,1,eo = manager or supervisor?
Executive officer finance company,21182,21182,2-11.10,21110,0,1,eo = manager or supervisor?
Executive officers of other large scale productive enterprises,21192,21192,2-12.20,21220,0,1,eo = manager or supervisor?
Capitalists,21330,21330,9-99.99,99999,0,1,
"Foremen and supervisors, public utilities",23160,23160,2-02.10,20210,0,1,
"Inspectors [of manufactories, companies], etc.",24100,24100,9-49.80,94980,0,1,
Postmasters or postmistresses,31050,31050,2-22.20,22220,0,1,
Money collector,33150,33150,3-39.90,33990,0,1,
Baggage agents and baggage men,33220,33220,5-99.90,59990,0,1,
"Agent, water transport (principally steamship and steamboat)",33320,33320,4-22.30,42230,0,1,
"Agent, land transport (non-rail)",33330,33330,4-22.30,42230,0,1,
Other specialized agents,43090,43090,4-32.00,43200,0,1,
Patent Agents,44160,44160,1-99.20,19920,0,1,two diff napp codes for patent agent
Clerks in shops and stores,45130,45130,3-91.10,39110,0,1,or is this a shopkeeping occ?
Boarding and lodging house keepers and managers,51040,51040,2-14.90,21490,0,1,or in 5-xx.xx
Errand boys and errand girls,59950,59950,3-70.40,37040,0,1,
Cottar and Fisherman,61330,61330,6-41.00,64100,0,1,
Braziers,87230,87230,8-72.45,87245,0,1,brazer = brazier?
Caulker,87560,87560,9-54.40,95440,0,1,
Marblers,95960,95960,9-51.45,95145,0,1,what is a marbler?
Helpers nfs,99430,99430,-1,-1,0,1,does this qualify as an occupation?
Helpers of relative or helping at home,99440,99440,-1,-1,0,1,does this qualify as an occupation?
No occupation,0,0,-2,-2,0,0,
Chemists,01100,1100,0-11.10,1110,0,0,
Physicists,01200,1200,0-12.10,1210,0,0,
Physical scientists nec,01300,1300,0-13.90,1390,0,0,
Architects,02100,2100,0-21.20,2120,0,0,
Civil engineers,02200,2200,0-22.10,2210,0,0,
Electrical engineers,02300,2300,0-23.05,2305,0,0,
"Mechanical engineers, general or nfs",02410,2410,0-35.90,3590,0,0,
"Heating, ventilation and refrigeration engineers",02460,2460,0-24.80,2480,0,0,
Chemical engineers,02500,2500,0-25.10,2510,0,0,
Metallurgists and assayers,02600,2600,0-26.20,2620,0,0,
Mining engineers,02700,2700,0-27.10,2710,0,0,
Industrial engineers,02800,2800,0-28.10,2810,0,0,
Professional engineers nec,02900,2900,0-20.00,2000,0,0,
Draughtsmen,03100,3100,0-31.10,3110,0,0,
Technicians,03210,3210,0-32.00,3200,0,0,
Civil engineering technicians,03220,3220,0-33.10,3310,0,0,
Electrical engineering technicians,03230,3230,0-34.05,3405,0,0,
Mechanical engineering technicians,03240,3240,0-35.10,3510,0,0,
Chemical engineering technicals,03250,3250,0-36.10,3610,0,0,
Metallurgical technicians,03260,3260,0-37.00,3700,0,0,
Mining technicians,03270,3270,0-38.10,3810,0,0,
Engineering technicians nec,03290,3290,0-39.90,3990,0,0,
Ships' officers nfs,04210,4210,0-42.90,4290,0,0,
Ship's masters and captains (sea),04220,4220,0-42.15,4215,0,0,
Ship's masters and captains (sea or inland waterways),04230,4230,0-42.17,4217,0,0,
Ship's masters and captains (inland waterways),04240,4240,0-42.20,4220,0,0,
Ship's navigating officers and ship's mates,04250,4250,0-42.30,4230,0,0,
Ship and boat pilots,04260,4260,0-42.40,4240,0,0,
Marine superintendents (deck),04270,4270,0-42.50,4250,0,0,
"Biologists, botanists, zoologists and related scientists",05100,5100,0-51.10,5110,0,0,
Medical scientists,05200,5200,0-52.90,5290,0,0,
Agronomists and related scientists,05300,5300,0-53.20,5320,0,0,
Medical doctors and physicians (UK: Medical doctors only),06110,6110,0-61.00,6100,0,0,
Physicians (UK only),06120,6120,0-61.05,6105,0,0,
Surgeons,06130,6130,0-61.10,6110,0,0,
Specialised physicians,06140,6140,0-61.20,6120,0,0,
Specialised surgeons,06150,6150,0-61.30,6130,0,0,
Public health physicians,06160,6160,0-61.40,6140,0,0,
Oculist,06170,6170,0-75.20,7520,0,0,
Dentists,06200,6200,0-63.10,6310,0,0,
Veterinarians,06300,6300,0-65.10,6510,0,0,
Pharmacists,06400,6400,0-67.10,6710,0,0,
Medical and related assistants,06500,6500,0-62.10,6210,0,0,
Nurses nfs,07210,7210,0-71.10,7110,0,0,
"Medical nurses, untrained or level of training unknown",07220,7220,0-72.10,7210,0,0,
Midwives,07320,7320,0-73.10,7310,0,0,
Monthly nurses,07330,7330,0-71.90,7190,0,0,
Opticians and optometrists,07500,7500,0-75.30,7530,0,0,
Healers and therapists nec,07600,7600,0-79.90,7990,0,0,
"Mathematicians and actuaries, etc.",08000,8000,0-82.30,8230,0,0,
Economists,09000,9000,0-90.10,9010,0,0,
Solicitors,12130,12130,1-24.10,12410,0,0,
Judge,12200,12200,1-22.10,12210,0,0,
Notary,12300,12300,1-23.10,12310,0,0,
"Jurists (except Lawyer, Judge or Solicitor)",12900,12900,1-29.10,12910,0,0,
Teachers (unspecified),13210,13210,1-30.00,13000,0,0,
Teachers (secondary),13220,13220,1-32.00,13200,0,0,
Teachers (primary),13230,13230,1-33.90,13390,0,0,
Teachers (pre-primary),13240,13240,1-34.90,13490,0,0,
Teachers (of the disabled),13250,13250,1-35.90,13590,0,0,
School administrators and principals,13300,13300,1-39.40,13940,0,0,
Governesses,13920,13920,1-39.60,13960,0,0,
Other ministers of religion,14190,14190,1-41.20,14120,0,0,
Workers in religion nec,14900,14900,1-49.90,14990,0,0,
Authors,15100,15100,1-51.20,15120,0,0,
Editors,15220,15220,1-59.20,15920,0,0,
"Journalists, reporters and correspondents",15230,15230,1-59.15,15915,0,0,
Others writers,15900,15900,1-59.90,15990,0,0,
Artists nfs and art teachers,16110,16110,1-61.90,16190,0,0,
Photographers,16300,16300,1-63.10,16310,0,0,
Engravers,16400,16400,1-61.50,16150,0,0,
Musical performers and musicians nfs,17120,17120,1-71.40,17140,0,0,
Music teachers,17130,17130,1-32.50,13250,0,0,
Dancers and dancing teachers,17200,17200,1-72.30,17230,0,0,
Actors and related workers,17300,17300,1-73.20,17320,0,0,
"Producers, performing arts",17400,17400,1-74.90,17490,0,0,
Performing artists nec,17900,17900,1-79.90,17990,0,0,
"Athletes, sportsmen and related workers",18000,18000,1-80.20,18020,0,0,
"Librarians, archivists and curators",19100,19100,1-91.20,19120,0,0,
Social scientists and historians,19200,19200,1-92.90,19290,0,0,
"Interpreters, translators and philologists",19500,19500,1-95.40,19540,0,0,
Underwriters,19930,19930,1-99.50,19950,0,0,
Legislative officials and heads of government,20100,20100,2-01.10,20110,0,0,
Government administrators,20200,20200,2-02.10,20210,0,0,
Manufacturers nfs,21120,21120,2-11.10,21110,0,0,
Manufacturers or proprietors of specified manufacturing concerns,21130,21130,2-11.10,21110,0,0,
"Proprietor, mining, quarrying, oil and? natural gas extraction",21140,21140,2-11.10,21110,0,0,
Oil Producer,21141,21141,2-11.10,21110,0,0,
"Proprietor, railway company",21150,21150,2-11.10,21110,0,0,
"Proprietor, other transport and communications",21160,21160,2-11.10,21110,0,0,
"Proprietor, public utilities (i.e., water, gas, etc.)",21170,21170,2-11.10,21110,0,0,
"Proprietor, finance",21180,21180,2-11.10,21110,0,0,
Other owners of large scale productive enterprises,21190,21190,2-11.10,21110,0,0,
Publisher,21194,21194,2-11.10,21110,0,0,
Contractors nfs,21210,21210,2-12.40,21240,0,0,
Construction contractors,21220,21220,2-12.40,21240,0,0,
Builders,21230,21230,9-59.10,95910,0,0,
Other specified contractors,21290,21290,2-12.00,21200,0,0,
Speculators,21340,21340,4-41.40,44140,0,0,
Investors nec,21390,21390,4-41.40,44140,0,0,
Superintendents and managers nfs,22110,22110,2-20.00,22000,0,0,
"Superintendents and managers, manufacturing",22120,22120,2-26.90,22690,0,0,
"Superintendents and managers, mining, quarrying, etc.",22130,22130,2-26.20,22620,0,0,
"Superintendents and managers, railways",22140,22140,2-22.90,22290,0,0,
"Superintendents and managers, other transport and communications",22150,22150,2-22.90,22290,0,0,
"Superintendents and managers, public utilities",22160,22160,2-26.90,22690,0,0,
"Superintendents and managers, construction, except railway construction",22170,22170,2-26.75,22675,0,0,
"Superintendents and managers, commerce",22180,22180,2-23.90,22390,0,0,
"Superintendents and managers, nec",22190,22190,2-26.90,22690,0,0,
Foremen and supervisors nfs,23110,23110,2-20.00,22000,0,0,
"Foremen and supervisors, manufacturing",23120,23120,2-26.50,22650,0,0,
"Foremen and supervisors, mining",23130,23130,2-26.20,22620,0,0,
"Foremen and supervisors, railways",23140,23140,2-22.10,22210,0,0,
"Foremen and supervisors, other transport and communications",23150,23150,2-22.90,22290,0,0,
"Foremen and supervisors, construction, except railway construction",23170,23170,2-26.10,22610,0,0,
"Foremen and supervisors, commerce",23180,23180,2-23.20,22320,0,0,
"Foremen and supervisors, nec",23190,23190,2-26.90,22690,0,0,
"Civil servants, title unknown",31010,31010,3-00.00,30000,0,0,
Clerks of court and other court clerks,31060,31060,3-93.40,39340,0,0,
"Typists, stenographers and secretaries",32000,32000,3-21.90,32190,0,0,
Bookkeepers and bookkeeping clerks,33120,33120,3-31.10,33110,0,0,
"Cashiers, bank or office",33130,33130,3-31.35,33135,0,0,
Bank clerks,33140,33140,3-39.40,33940,0,0,
Bank tellers (US),33142,33142,3-31.40,33140,0,0,
Toll collectors,33170,33170,3-10.40,31040,0,0,
Collector (cash or account),33180,33180,3-39.90,33990,0,0,
"Bookkeeping, account and cash handling workers nec",33190,33190,3-39.90,33990,0,0,
