napptitle,nappcode,nappcodenum,hiscocode,hiscocodenum,nappeqhisco,check,comments
River drivers,63130,63130,6-31.40,63140,0,0,
Wood cutters and choppers,63140,63140,6-31.90,63190,0,0,
Whale or seal hunters,64950,64950,6-49.45,64945,0,0,
Seal hunters,64960,64960,6-49.50,64950,0,0,
Trappers or hunters,64970,64970,6-49.60,64960,0,0,
Miners,71120,71120,7-11.05,71105,0,0,
Quarrymen,71130,71130,7-11.10,71110,0,0,
"Metal melters and reheaters, and workers in metal melting mills",72300,72300,7-23.90,72390,0,0,
Metal casters and workers in metal casting plants,72400,72400,7-24.90,72490,0,0,
"Metal annealers, temperers and hardeners",72600,72600,7-26.90,72690,0,0,
Metal drawers and workers in metal drawing,72700,72700,7-27.25,72725,0,0,
Metal platers and coaters,72800,72800,7-28.90,72890,0,0,
Other (specialised) metal workers,72900,72900,7-29.90,72990,0,0,
Papermill machine operators and paper makers,73300,73300,7-34.00,73400,0,0,
"Chemical workers, product nfs",74000,74000,7-49.90,74990,0,0,
Drug workers,74100,74100,7-49.90,74990,0,0,
Gunpowder and explosive makers,74200,74200,7-49.90,74990,0,0,
Charcoal burners,74320,74320,7-49.30,74930,0,0,
Coal gas makers,74330,74330,7-49.25,74925,0,0,
Tar makers,74340,74340,7-45.90,74590,0,0,
"Other coal product makers [e.g., coke]",74390,74390,7-49.90,74990,0,0,
Salt makers,74420,74420,7-44.70,74470,0,0,
Alkali and soda makers,74430,74430,7-78.90,77890,0,0,
Paint and varnish makers,74620,74620,7-41.00,74100,0,0,
Dye makers,74630,74630,7-41.40,74140,0,0,
"Ink, blacking, colouring, etc., makers",74640,74640,7-45.90,74590,0,0,
"Tallow chandlers, candle makers and grease makers",74720,74720,4-10.25,41025,0,0,
Soap and perfume makers,74730,74730,7-44.90,74490,0,0,
"Glue, size and gelatin[e] makers",74740,74740,7-49.90,74990,0,0,
Wax and polish makers,74750,74750,7-45.90,74590,0,0,
Fertilizer and manure makers,74920,74920,7-49.90,74990,0,0,
Starch makers,74930,74930,5-60.90,56090,0,0,
Turpentine makers,74940,74940,7-49.90,74990,0,0,
Weaving and knitting-machine setters and pattern-card preparers,75300,75300,7-53.90,75390,0,0,
Rope makers,75700,75700,7-57.10,75710,0,0,
Net maker,75920,75920,7-59.40,75940,0,0,
"Tanners or fellmongers, specialisation unknown",76110,76110,7-61.00,76100,0,0,
Fellmongers,76120,76120,7-61.25,76125,0,0,
Tanners,76130,76130,7-61.45,76145,0,0,
Leather curriers and finishers,76140,76140,7-61.50,76150,0,0,
Fur and pelt dressers,76200,76200,7-92.00,79200,0,0,
Millers and related workers,77100,77100,7-93.90,79390,0,0,
Pork butchers,77320,77320,7-73.90,77390,0,0,
"Slaughterer, meat cutters or meat packer",77340,77340,7-73.20,77320,0,0,
Sausage makers,77350,77350,7-73.40,77340,0,0,
Fish butchers,77360,77360,7-79.40,77940,0,0,
Meat cannery workers and other meat preservers (not sausages),77380,77380,7-74.60,77460,0,0,
Cannery workers and other food preservers,77400,77400,7-74.90,77490,0,0,
"Butter, cheese and dairy product makers",77500,77500,7-75.10,77510,0,0,
Baker and confectioner,77610,77610,7-76.90,77690,0,0,
Bakers,77620,77620,7-76.10,77610,0,0,
Confectioners and pastry makers,77630,77630,7-76.60,77660,0,0,
Candy makers,77640,77640,7-72.00,77200,0,0,
"Tea, coffee and cocoa preparers",77700,77700,7-77.90,77790,0,0,
Brewers,77820,77820,7-78.10,77810,0,0,
Wine workers,77840,77840,7-78.50,77850,0,0,
Vinegar makers and workers,77850,77850,7-78.70,77870,0,0,
Distillers,77860,77860,7-44.00,74400,0,0,
Makers of soft drinks,77870,77870,7-78.90,77890,0,0,
Bottlers,77880,77880,7-78.90,77890,0,0,
Cigarette makers,78300,78300,7-83.90,78390,0,0,
Other tobacco product makers,78400,78400,7-89.90,78990,0,0,
Tailors and tailoresses,79120,79120,7-91.00,79100,0,0,
Dressmakers,79130,79130,7-91.40,79140,0,0,
Furriers and fur workers,79200,79200,7-99.20,79920,0,0,
Hat makers,79330,79330,7-93.10,79310,0,0,
Straw hat makers,79340,79340,7-93.10,79310,0,0,
Other hat makers,79390,79390,7-39.90,73990,0,0,
Glove makers and related workers,79400,79400,7-94.75,79475,0,0,
Seamstresses,79520,79520,7-95.10,79510,0,0,
Sewers and sewing machine operators,79530,79530,7-95.50,79550,0,0,
Embroiderers,79540,79540,7-95.65,79565,0,0,
Artificial flower makers,79940,79940,7-95.90,79590,0,0,
Boot and shoe makers and repairers,80100,80100,8-01.10,80110,0,0,
Trunk or bag maker,80330,80330,7-96.90,79690,0,0,
Chair makers,81130,81130,8-11.20,81120,0,0,
Wicker furniture makers,81140,81140,9-42.50,94250,0,0,
Woodworkers,81210,81210,8-10.00,81000,0,0,
"Sawyers, woodworking",81220,81220,7-32.10,73210,0,0,
Wood planers,81240,81240,8-12.75,81275,0,0,
Wood carvers,81250,81250,8-19.45,81945,0,0,
"Coach, carriage and wagon makers",81300,81300,8-19.90,81990,0,0,
Wheelwrights [and cartwrights],81400,81400,8-19.25,81925,0,0,
"Coopers, hoop makers and benders",81500,81500,8-19.30,81930,0,0,
Clog makers,81600,81600,8-19.90,81990,0,0,
Box makers nfs,81710,81710,9-10.25,91025,0,0,
Wooden box makers,81720,81720,8-11.90,81190,0,0,
Paper box makers,81730,81730,9-10.25,91025,0,0,
Box makers nec,81790,81790,9-10.90,91090,0,0,
Wooden tool makers,81920,81920,8-19.90,81990,0,0,
Ski makers,81930,81930,8-19.90,81990,0,0,* amazing: it is actually mentioned in the HISCO description
Stone carvers or cutters and stone yard workers,82000,82000,8-20.90,82090,0,0,
Blacksmiths,83120,83120,8-31.10,83110,0,0,
Hammersmiths,83130,83130,8-31.20,83120,0,0,
Foregemen,83140,83140,8-31.10,83110,0,0,
Farriers or horseshoers,83150,83150,8-31.10,83110,0,0,
Specialised makers of forged metal products,83160,83160,8-31.90,83190,0,0,
Pattern makers nfs and nec,83230,83230,8-32.10,83210,0,0,
Other metal working machine operators,83390,83390,8-30.00,83000,0,0,
Machinists,83400,83400,8-34.10,83410,0,0,
Metal grinders and sharpeners,83530,83530,8-35.90,83590,0,0,
Cutlers and cutting instrument makers,83540,83540,8-39.90,83990,0,0,
"Cutler (knives, forks, spoon)",83550,83550,8-39.15,83915,0,0,
Gunsmiths,83600,83600,8-39.20,83920,0,0,
Locksmiths,83700,83700,8-39.30,83930,0,0,
Saw makers,83820,83820,8-35.50,83550,0,0,
"Saw, spade, shovel and half wood/half metal agricultural instrument type things",83830,83830,8-39.90,83990,0,0,
Chain makers,83840,83840,8-31.90,83190,0,0,
